S:BB3:VX4_2+VS2_4,4.31837953774,2.73869386231,6812.0,3220.0
S:BB3:YAP-SXF-0.3C6+0.3A6,2.88947685636,2.47522355881,1983.0,1497.0
S:BB3:GBX-ZB+E6,2.46439212682,2.88649668998,1714.0,1433.0
S:BB3:FS-MME,8.67186120842,5.0498035242,267483.0,91831.0
S:BB3:GBX-R-0.5B6+0.5E6,2.14874151743,2.03306918239,738.0,452.0
S:BB3:ZT-ZF-GBS+GBM,2.92496244288,2.11115828853,2511.0,1263.0
S:BB3:FS-X,7.66490072963,3.65414892979,221526.0,60511.0
S:BB3:FS-RTY,8.09633907996,4.4637558478,245914.0,78161.0
S:BB3:VX4_2-VS2_4,3.0524854639,2.10171588134,5875.0,2459.0
S:BB3:FS-NKD,8.23492969663,4.07120466008,254248.0,76957.0
S:BB3:VX4-VS4,3.71402779365,3.37506349833,3995.0,2809.0
S:BB3:BS6-YS+0.3J6,3.02870317004,2.50361227949,3009.0,1555.0
S:BB3:U5-GBL,3.38498452562,3.38498452562,2497.0,2497.0
S:BB3:FS-SXF-0.25C6,2.54304877745,2.95613586423,1539.0,1533.0
S:BB3:ESX+VS3,2.6798281404,2.14859974353,2403.0,1456.0
S:BB3:TS-R-0.3B6+0.3A6,2.75821796055,2.03807019303,1541.0,797.0
S:BB3:RB-ZW,2.56530085931,2.18161315614,1795.0,1308.0
S:BB3:CGB+SXF-BT-NKD+C6-J6,2.14932827244,2.09137803569,1460.0,904.0
S:BB3:R+X-CGB-SXF+B6-C6,2.73783479653,2.52227442799,1763.0,1322.0
S:BB3:CGB+SXF-TS-YAP+C6-A6,2.35142001605,2.30369591738,1657.0,1237.0
S:BB3:CGF-CGB,3.53972118879,3.18316623204,4980.0,3667.0
S:BB3:BTS-BTP,2.95321515597,2.54531081699,1538.0,1223.0
S:BB3:ZN+ES-CGB-SXF-GC-C6,2.18286569359,2.35098339318,1747.0,1567.0
